SpineBase;2017-10-04 08:51:19.203;0,365353;0,07133999;2,301777;Tracked

SpineMid;2017-10-04 08:51:19.203;0,3640894;0,40275;2,34995;Tracked

Neck;2017-10-04 08:51:19.204;0,3617481;0,7211073;2,385339;Tracked

Head;2017-10-04 08:51:19.204;0,3683276;0,8761694;2,373358;Tracked

ShoulderLeft;2017-10-04 08:51:19.205;0,1905569;0,5943115;2,397995;Tracked

ElbowLeft;2017-10-04 08:51:19.205;0,003052375;0,4630557;2,426182;Tracked

WristLeft;2017-10-04 08:51:19.205;-0,2176314;0,5033671;2,377203;Tracked

HandLeft;2017-10-04 08:51:19.206;-0,3162615;0,5401317;2,365894;Tracked

ShoulderRight;2017-10-04 08:51:19.206;0,5314267;0,5941018;2,322523;Tracked

ElbowRight;2017-10-04 08:51:19.207;0,7498545;0,4652821;2,269963;Tracked

WristRight;2017-10-04 08:51:19.207;0,9385071;0,6297383;2,1742;Tracked

HandRight;2017-10-04 08:51:19.208;1,005064;0,6753979;2,160877;Tracked

HipLeft;2017-10-04 08:51:19.209;0,2816542;0,06698753;2,275746;Tracked

KneeLeft;2017-10-04 08:51:19.209;0,2370166;-0,395023;2,269124;Tracked

AnkleLeft;2017-10-04 08:51:19.210;0,2030809;-0,7587387;2,240458;Tracked

FootLeft;2017-10-04 08:51:19.210;0,1665761;-0,8303059;2,148614;Tracked

HipRight;2017-10-04 08:51:19.211;0,436564;0,07308481;2,248868;Tracked

KneeRight;2017-10-04 08:51:19.211;0,5050545;-0,3725436;2,207197;Tracked

AnkleRight;2017-10-04 08:51:19.212;0,5461955;-0,7257118;2,163189;Tracked

FootRight;2017-10-04 08:51:19.212;0,5174968;-0,7514222;2,010208;Tracked

SpineShoulder;2017-10-04 08:51:19.213;0,3626217;0,6432584;2,378794;Tracked

HandTipLeft;2017-10-04 08:51:19.213;-0,3934854;0,5805781;2,380902;Tracked

ThumbLeft;2017-10-04 08:51:19.214;-0,302669;0,594817;2,354834;Tracked

HandTipRight;2017-10-04 08:51:19.214;1,077366;0,7209678;2,141084;Tracked

ThumbRight;2017-10-04 08:51:19.215;1,006542;0,6329995;2,120429;Tracked
