SpineBase;2017-10-04 08:51:34.440;0,3230225;0,07128105;2,293757;Tracked
SpineMid;2017-10-04 08:51:34.441;0,3225775;0,3984289;2,34526;Tracked
Neck;2017-10-04 08:51:34.441;0,3202605;0,7124677;2,383363;Tracked
Head;2017-10-04 08:51:34.442;0,3243421;0,866163;2,375576;Tracked
ShoulderLeft;2017-10-04 08:51:34.442;0,1487714;0,5844513;2,38924;Tracked
ElbowLeft;2017-10-04 08:51:34.443;0,09235805;0,3083939;2,400929;Tracked
WristLeft;2017-10-04 08:51:34.444;0,02607131;0,08682984;2,294417;Tracked
HandLeft;2017-10-04 08:51:34.444;0,01384448;0,006255406;2,246447;Tracked
ShoulderRight;2017-10-04 08:51:34.445;0,485542;0,584342;2,323858;Tracked
ElbowRight;2017-10-04 08:51:34.445;0,5697097;0,3355214;2,303165;Tracked
WristRight;2017-10-04 08:51:34.446;0,6101509;0,1263886;2,154125;Tracked
HandRight;2017-10-04 08:51:34.447;0,6111976;0,04171011;2,105533;Tracked
HipLeft;2017-10-04 08:51:34.447;0,240125;0,06771208;2,266086;Tracked
KneeLeft;2017-10-04 08:51:34.448;0,2071143;-0,3891992;2,248479;Tracked
AnkleLeft;2017-10-04 08:51:34.449;0,1972129;-0,756279;2,235656;Tracked
FootLeft;2017-10-04 08:51:34.449;0,1669094;-0,8350039;2,149558;Tracked
HipRight;2017-10-04 08:51:34.450;0,3946157;0,07233377;2,241373;Tracked
KneeRight;2017-10-04 08:51:34.451;0,4807392;-0,3717908;2,19039;Tracked
AnkleRight;2017-10-04 08:51:34.452;0,5388767;-0,7294012;2,15732;Tracked
FootRight;2017-10-04 08:51:34.453;0,5129861;-0,7548816;2,002142;Tracked
SpineShoulder;2017-10-04 08:51:34.453;0,3211633;0,6356726;2,376205;Tracked
HandTipLeft;2017-10-04 08:51:34.454;-0,001171068;-0,07254712;2,21524;Tracked
ThumbLeft;2017-10-04 08:51:34.455;-0,009090953;-0,02206848;2,22879;Tracked
HandTipRight;2017-10-04 08:51:34.455;0,6339289;-0,03293014;2,069613;Tracked
ThumbRight;2017-10-04 08:51:34.456;0,6368455;0,02163072;2,077133;Tracked
